approval_id,approval_name,authority,state,sector,stage,description,who_can_apply,documents,fee,validity,processing_days,act_rules,conditions,nsws_available,source_name,source_url,retrieved_at,last_verified_at
UP_PCB_CTE_001,Consent to Establish (CTE) under Water and Air Acts,Uttar Pradesh Pollution Control Board (UPPCB),Uttar Pradesh,Manufacturing,Pre-Establishment,"Statutory environmental clearance required prior to establishing any industrial plant, discharge outlet, or manufacturing unit in red, orange, or green pollution categories. DEMO RECORD — verify against current official source before production use.","Industrial units planning new manufacturing setup or capacity expansion discharging trade effluent or air emissions","Site Plan; Detailed Project Report (DPR); Land Ownership/Lease Deed; Effluent Treatment Plant (ETP) / Air Pollution Control Device (APCD) Proposal; Water Balance Diagram",,5 Years,30,"Water (Prevention and Control of Pollution) Act 1974 (Section 25/26); Air (Prevention and Control of Pollution) Act 1981 (Section 21)","Must install adequate effluent treatment and air pollution control devices as per prescribed CPCB/UPPCB norms prior to commissioning.",Yes,UPPCB / Nivesh Mitra Single Window Portal,https://niveshmitra.up.nic.in,2026-09-04T00:00:00Z,2026-09-04T00:00:00Z
UP_PCB_CTO_002,Consent to Operate (CTO) under Water and Air Acts,Uttar Pradesh Pollution Control Board (UPPCB),Uttar Pradesh,Manufacturing,Pre-Operation,"Statutory operational consent required before commencing commercial production or operating industrial machinery discharging effluent or emissions. DEMO RECORD — verify against current official source before production use.","Enterprises holding valid Consent to Establish (CTE) that have completed plant construction and equipment installation","Copy of CTE Grant Letter; Compliance Report of CTE Conditions; Environmental Audit / ETP Commissioning Report; Laboratory Effluent Analysis Report; Production Capacity Certificate",,5 Years,30,"Water (Prevention and Control of Pollution) Act 1974 (Section 25/26); Air (Prevention and Control of Pollution) Act 1981 (Section 21)","Valid only when operating within consented emission parameters and water discharge limits.",Yes,UPPCB Portal / Nivesh Mitra,https://uppcb.up.gov.in,2026-09-04T00:00:00Z,2026-09-04T00:00:00Z
UP_FIRE_NOC_003,Fire Safety No Objection Certificate (Provisional / Pre-Construction),Uttar Pradesh Fire Service,Uttar Pradesh,Manufacturing,Pre-Establishment,"Pre-construction fire safety clearance ensuring building layouts incorporate statutory emergency exits, fire hydrants, and access roads. DEMO RECORD — verify against current official source before production use.","Commercial and industrial units with built-up area exceeding statutory thresholds or storing combustible/hazardous materials","Certified Architectural Building Layout Plan; Key Plan; Site Plan with Emergency Exits; Structural Stability Certificate; Proposed Fire Fighting System Blueprint",,3 Years,15,"Uttar Pradesh Fire Prevention and Fire Safety Act 2005; National Building Code of India (NBC 2016 Part IV)","Subject to on-site physical verification by Chief Fire Officer (CFO) inspecting officer.",Yes,UP Fire Service / Nivesh Mitra,https://upfire.gov.in,2026-09-04T00:00:00Z,2026-09-04T00:00:00Z
IN_FSSAI_MFG_004,FSSAI Food Manufacturing and Processing License,Food Safety and Standards Authority of India (FSSAI),Uttar Pradesh,Food Processing,Pre-Operation,"Mandatory statutory license to manufacture, process, pack, or store food products under national standards. DEMO RECORD — verify against current official source before production use.","Food Business Operators (FBOs) manufacturing or processing food products in Uttar Pradesh","Food Safety Management System (FSMS) Plan; Blueprint/Layout of Processing Unit; List of Machinery and Equipment; Potable Water Test Report (IS 10500); List of Food Categories Manufactured; Authorized Signatory ID Proof",,5 Years,30,"Food Safety and Standards Act 2006 (Section 31); Food Safety and Standards (Licensing and Registration of Food Businesses) Regulations 2011","Premises must comply with Schedule 4 hygienic and sanitary practices.",Yes,FSSAI FoSCoS Portal,https://foscos.fssai.gov.in,2026-09-04T00:00:00Z,2026-09-04T00:00:00Z
UP_FAC_REG_005,Factory License and Building Plan Approval,Directorate of Factories (Labour Department),Uttar Pradesh,Manufacturing,Pre-Establishment,"Statutory registration and plan approval for manufacturing premises employing 10 or more workers with power, or 20 or more workers without power. DEMO RECORD — verify against current official source before production use.","Occupier/Manager of manufacturing premises falling under the definition of a factory","Factory Site Plan and Section Elevation Drawings; Machinery Layout Plan; Form 1 (Particulars of Plant); Process Flow Chart; Title/Lease Deed of Land",,1 Year,20,"Factories Act 1948 (Section 6); Uttar Pradesh Factories Rules 1950 (Rule 3 to 5)","Renewal required annually or multi-year block as notified by state government.",Yes,Directorate of Factories UP / Nivesh Mitra,https://niveshmitra.up.nic.in,2026-09-04T00:00:00Z,2026-09-04T00:00:00Z
UP_LAB_REG_006,Registration of Principal Employer under Contract Labour Act,Labour Department,Uttar Pradesh,Manufacturing,Pre-Operation,"Registration required for principal employers engaging contract labour for manufacturing or packaging operations. DEMO RECORD — verify against current official source before production use.","Establishments employing 20 or more contract workers on any day of the accounting year","Form I Application; List of Contractors with Estimated Worker Count; Trade License / Incorporation Certificate; Authorized Signatory Authorization",,Permanent (subject to amendment),15,"Contract Labour (Regulation and Abolition) Act 1970 (Section 7); UP Contract Labour Rules 1975","Mandatory welfare amenities (canteen, first-aid, restrooms) must be ensured.",Yes,Labour Department Uttar Pradesh,http://uplabour.gov.in,2026-09-04T00:00:00Z,2026-09-04T00:00:00Z
UP_ELEC_CEIG_007,Approval for Electrical Installation and DG Set Energization,Directorate of Electrical Safety (CEIG),Uttar Pradesh,Manufacturing,Pre-Operation,"Statutory inspection and energization certificate for HT electrical installations, transformers, and diesel generator sets. DEMO RECORD — verify against current official source before production use.","Industrial units installing high-voltage electrical transformers, sub-stations, or DG sets above statutory kVA capacity","Single Line Diagram (SLD) of Electrical Layout; Transformer/DG Set Test Certificates; Earthing Resistance Test Report; Electrical Contractor Completion Certificate (Form A)",,3 Years,15,"Electricity Act 2003 (Section 54); Central Electricity Authority (Measures relating to Safety and Electric Supply) Regulations 2010","Equipment must satisfy earthing and safety clearance standards prior to energization.",Yes,Electrical Safety Directorate UP / Nivesh Mitra,http://ceig.up.gov.in,2026-09-04T00:00:00Z,2026-09-04T00:00:00Z
IN_BOILER_REG_008,Registration and Certificate for Use of Industrial Boiler,Directorate of Boilers,Uttar Pradesh,Manufacturing,Pre-Operation,"Statutory inspection, hydraulic testing, and registration for steam boilers and steam pipe installations. DEMO RECORD — verify against current official source before production use.","Industrial units operating steam boilers exceeding 25 litres capacity with design pressure above 1 kg/cm2","Boiler Manufacturer Test Certificates (Form II, III, IV); Steam Pipeline Drawing; Boiler House Layout; Certified Boiler Attendant Details; Erection Completion Certificate",,1 Year,20,"Boilers Act 1923 (Section 7); Indian Boiler Regulations 1950 (IBR)","Annual hydraulic test and internal inspection mandatory for renewal.",Yes,National Single Window System (NSWS) / UP Boilers,https://www.nsws.gov.in,2026-09-04T00:00:00Z,2026-09-04T00:00:00Z
IN_WEIGHTS_MEAS_009,Registration as Manufacturer and Packer of Pre-Packaged Commodities,Department of Legal Metrology,Uttar Pradesh,Food Processing,Pre-Operation,"Statutory registration under Legal Metrology for packaging food products or goods in pre-determined quantities. DEMO RECORD — verify against current official source before production use.","Manufacturers and packers distributing packaged food items, containers, and pre-weighed consumer commodities","Sample Product Package Label / Artwork (showing MRP, net weight, batch, customer care); Manufacturing License Copy; GST Registration; Trade License",,Lifetime (unless premises/products change),15,"Legal Metrology Act 2009 (Section 19); Legal Metrology (Packaged Commodities) Rules 2011 (Rule 27)","Labels must comply with mandatory declarations including font size, unit measurement symbols, and manufacturer details.",Yes,National Single Window System (NSWS) / Legal Metrology,https://www.nsws.gov.in,2026-09-04T00:00:00Z,2026-09-04T00:00:00Z
UP_TREE_TRANS_010,Permission for Tree Felling for Industrial Site Development,Department of Forests,Uttar Pradesh,Manufacturing,Pre-Establishment,"Statutory permission required before clearing non-exempt tree species on private or acquired industrial plots. DEMO RECORD — verify against current official source before production use.","Landowners / developers executing site leveling or construction on land containing protected tree species","Land Revenue Records (Khasra/Khatauni); Geo-referenced Plot Layout showing Trees to be Felled; Afforestation Undertaking (1:10 compensatory plantation)",,1 Year,30,"Uttar Pradesh Protection of Trees Act 1976 (Section 4 to 7)","Compensatory plantation of native tree saplings is mandatory.",Yes,Department of Forests UP / Nivesh Mitra,https://niveshmitra.up.nic.in,2026-09-04T00:00:00Z,2026-09-04T00:00:00Z
